index,y,x,rightdis,leftdis,topdis,bottomdis,average4,averagecol,averagerow,pred
53,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
54,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
55,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
56,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
57,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
58,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
60,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
61,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
62,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
63,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
64,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
65,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
66,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
67,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
68,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
69,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
70,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
71,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
72,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
